m.02hskn,Andrzej Frycz Modrzewski,1503-09-20,1572-01-01,"",""
m.02ptcv8,Lisa Lindgren,1960-07-28,2005-01-01,"",""
m.02r622f,Cemil Bey,1873-01-01,1916-07-28,"",""
m.02rs_c3,Jeanne-Marie Martin,1987-06-08,2087-05-14,"",Datum umrtia nemusi byt spravny.
m.03d51yp,Don Ferguson,1963-01-02,2062-12-08,"",Datum umrtia nemusi byt spravny.
m.03hgw6k,Zvi Sherf,1951-12-18,2051-11-23,"",Datum umrtia nemusi byt spravny.
m.03wpkhf,David F Sorrells,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03wtqkj,W David Scott,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03yb2x2,East Flatbush Project,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.04x4_y,Swami Shankarananda,1880-01-01,1962-01-01,"",""
m.04y7wvb,Chad Taylor,1964-01-01,2063-12-07,"",Datum umrtia nemusi byt spravny.
m.052_2kv,Jonathan Sterns,1751-04-19,1798-05-23,"",""
m.05b_yz7,Nicky Gooch,1973-01-30,2073-01-05,"",Datum umrtia nemusi byt spravny.
m.05mr233,Hashmatullah Barakzai,1987-08-26,2087-08-01,"",Datum umrtia nemusi byt spravny.
m.05vj_j0,David Murray,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05w416d,Manuel Zymelman,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05wkytn,Elizabeth Ferber,1967-01-01,2066-12-07,"",Datum umrtia nemusi byt spravny.
m.05wnlh4,Jim Zuckerman,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05wwd0c,Nicholas A Basbanes,1943-05-25,2043-04-30,"",Datum umrtia nemusi byt spravny.
m.05xw1pc,Steven L. Kipp,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.07k7ph2,Theodore E. Margeson,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010q4ch_,Sharman Simu,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010s2y8x,Molly O'brien,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0114d3cs,Akio Fukamachi,1975-11-19,2075-10-25,"",Datum umrtia nemusi byt spravny.
m.011cjdxf,Fran Malecha,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011n_zzr,Russell Eke,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0120zlf6,Avner Faingulernt,1961-12-22,2061-11-27,"",Datum umrtia nemusi byt spravny.
m.012z88hb,Grigory Mylnikov,1919-05-25,1979-09-26,"",""
m.021d81,Béla III of Hungary,1148-01-01,1196-04-23,"",""
m.025xj1d,Richard Ofshe,1941-02-27,2041-02-02,"",Datum umrtia nemusi byt spravny.
m.027p9wz,Stephanie Rawlings-Blake,1970-03-17,2070-02-20,"",Datum umrtia nemusi byt spravny.
m.02806f5,Amédée Bollée,1844-01-01,1917-01-01,"",""
m.02qj57q,John Corrin,1934-09-10,2005-11-30,"",""
m.02w9qh1,Jacob Georg Christian Adler,1756-12-08,1834-08-22,"",""
m.02z0jy7,John Smith,1951-01-01,2050-12-07,"",Datum umrtia nemusi byt spravny.
m.030msd,Vintilă Horia,1915-12-18,1992-04-04,"",""
m.03wplgq,Paul W. Kolacki,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03wtd5p,John G Callan,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.041466x,Zack Whyte,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.04mws_q,Liban Abdi,1988-10-05,2088-09-10,"",Datum umrtia nemusi byt spravny.
m.05mtssw,Fred Channell,1910-05-05,1975-01-01,"",""
m.05x8mxd,Mark Kerr,1883-01-01,1950-01-01,"",""
m.05y2bhj,Thomas Macaulay,1946-01-01,2045-12-07,"",Datum umrtia nemusi byt spravny.
m.05ynpj1,Shireen Hunter,1945-01-01,2044-12-07,"",Datum umrtia nemusi byt spravny.
m.06d11m,Antoni Cieszyński,1882-05-31,1941-07-04,"",""
m.06w1wzz,Emil Forsberg,1991-10-23,2091-09-28,"",Datum umrtia nemusi byt spravny.
m.06zjrgz,Frederick Parris,1867-09-20,1941-01-17,"",""
m.0806jqm,Marie-Pierre Parent,1982-05-15,2082-04-20,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,1978-12-04,2078-11-09,"",Datum umrtia nemusi byt spravny.
m.010x2l7q,Nilambari,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.012pslqy,Hendrik Faydherbe,1574-01-01,1629-01-01,"",""
m.01g3rk,Bill Richmond,1763-08-05,1829-12-28,"",""
m.01s5kc,Scipio Africanus Jones,1863-08-03,1943-03-02,"",""
m.0261mty,Jack Walker,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.026qrts,Charles Van Rensselaer III,1926-04-19,1999-07-16,"",""
m.02wl2f7,Jim Mulligan,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02z79fg,Daniel Hollands,1927-01-20,2006-07-07,"",""
m.03c0wb6,Vadim Sayutin,1970-12-31,2070-12-06,"",Datum umrtia nemusi byt spravny.
m.03hgtl6,Abdul Rahman bin Saud Al Saud,1946-11-19,2004-07-29,"",""
m.03mdn1f,David Brame,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03wrl0z,Michael Rome,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03ww_rt,Michael G Adams,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03wwrkf,Martin Mulroy,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03ypgf,Monkey Punch,1937-05-26,2037-05-01,"",Datum umrtia nemusi byt spravny.
m.0464d_w,Roger Mandle,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.051_qvf,Binayak Acharya,1918-08-30,1983-12-11,"",""
m.052_mc0,John Machado,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05f87qm,Archie Stephens,1954-05-19,2054-04-24,"",Datum umrtia nemusi byt spravny.
m.05vsc_d,Robert Gardner,1934-01-01,2033-12-07,"",Datum umrtia nemusi byt spravny.
