id,name,birth,death,nationality_ref,nationality,height_meters,birth_validation,death_validation
m.04hv89,"Sigismund Francis, Archduke of Austria",1630-11-27,1665-06-25,m.0h7x,"Sigismund Francis, Archduke of Austria","","",""
m.04q33b0,Taco Dibbits,1968-01-01,2067-12-07,m.059j2,Taco Dibbits,"","",Datum umrtia nemusi byt spravny.
m.04r3rq,Stan Greenberg,1945-05-10,2045-04-15,m.09c7w0,Stan Greenberg,"","",Datum umrtia nemusi byt spravny.
m.05mlkv,Antonio McKay,1964-02-09,2064-01-15,m.09c7w0,Antonio McKay,"","",Datum umrtia nemusi byt spravny.
m.06w99m7,M. H. Cegu Isadean,1944-05-12,2044-04-17,m.06m_5,M. H. Cegu Isadean,"","",Datum umrtia nemusi byt spravny.
m.07kg9cq,Thomas A. Pope,1894-12-15,1989-06-14,m.09c7w0,Thomas A. Pope,"","",""
m.080bw4t,Lord Arthur Hervey,1808-08-20,1894-01-01,m.02jx1,Lord Arthur Hervey,"","",""
g.155swwk3,Han Ying,1940-01-01,2039-12-07,m.0d05w3,Han Ying,"","",Datum umrtia nemusi byt spravny.
m.0124xf0x,Ali Quli Mirza,"","",m.03rk0,Ali Quli Mirza,1.85,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01w3p1p,Christina Billotte,1969-05-04,2069-04-09,m.09c7w0,Christina Billotte,"","",Datum umrtia nemusi byt spravny.
m.02q14cr,Enric Gensana,1936-06-03,2005-09-28,m.06mkj,Enric Gensana,"","",""
m.02vz971,Jennifer Van Dyck,1962-12-23,2062-11-28,m.06q1r,Jennifer Van Dyck,"","",Datum umrtia nemusi byt spravny.
m.03bv3s,Thomas Harriot,1560-01-01,1621-07-02,m.07ssc,Thomas Harriot,"","",""
m.03bv3s,Thomas Harriot,1560-01-01,1621-07-02,m.024pcx,Thomas Harriot,"","",""
m.03xx9l,David Alan Grier,1956-06-30,2056-06-05,m.09c7w0,David Alan Grier,1.87,"",Datum umrtia nemusi byt spravny.
m.04430r,Hiram Paulding,1797-12-11,1878-10-20,m.09c7w0,Hiram Paulding,"","",""
m.04f6f37,Jonathan Petropoulos,1961-01-10,2060-12-16,m.09c7w0,Jonathan Petropoulos,"","",Datum umrtia nemusi byt spravny.
m.05p0pq7,Valur Gíslason,1977-09-08,2077-08-14,m.03rj0,Valur Gíslason,1.86,"",Datum umrtia nemusi byt spravny.
m.05p0zb8,Irving Buchman,1925-01-19,2009-03-04,m.09c7w0,Irving Buchman,"","",""
m.05z_bwh,Colin Lyman,1914-03-09,1986-05-09,m.02jx1,Colin Lyman,"","",""
m.05zz7zh,Kim Ui-Beom,"","",m.06qd3,Kim Ui-Beom,1.74,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.064nbmm,Vladimir Fedotov,1966-08-12,2066-07-18,m.06bnz,Vladimir Fedotov,1.77,"",Datum umrtia nemusi byt spravny.
m.06t603,Xavier Naidoo,1971-10-02,2071-09-07,m.0345h,Xavier Naidoo,"","",Datum umrtia nemusi byt spravny.
m.072shb,Jason Karl,1974-01-01,2073-12-07,m.07ssc,Jason Karl,"","",Datum umrtia nemusi byt spravny.
m.073ygx,Alain Mikli,1955-04-01,2055-03-07,m.0jgx,Alain Mikli,"","",Datum umrtia nemusi byt spravny.
m.083znt,Patrick T. Harker,1958-11-19,2058-10-25,m.09c7w0,Patrick T. Harker,"","",Datum umrtia nemusi byt spravny.
m.0114z9z4,Claus Ringer,1943-03-19,2043-02-22,m.0345h,Claus Ringer,"","",Datum umrtia nemusi byt spravny.
m.025tczy,Charlie Walker,1911-05-14,1990-05-07,m.02jx1,Charlie Walker,"","",""
m.0266ct8,Roger Steffens,1942-06-17,2042-05-23,m.09c7w0,Roger Steffens,"","",Datum umrtia nemusi byt spravny.
m.027qd3c,Joyce Chen,1917-09-14,1994-08-23,m.09c7w0,Joyce Chen,"","",""
m.046321b,Jean-Claude Mukanya,1968-05-01,2068-04-06,m.0k5vl,Jean-Claude Mukanya,1.87,"",Datum umrtia nemusi byt spravny.
m.046321b,Jean-Claude Mukanya,1968-05-01,2068-04-06,m.06mzp,Jean-Claude Mukanya,1.87,"",Datum umrtia nemusi byt spravny.
m.04k1vv,Jean Behra,1921-02-16,1959-08-01,m.0f8l9c,Jean Behra,"","",""
m.04ldgsn,Ion Monea,1940-11-30,2011-03-01,m.06c1y,Ion Monea,"","",""
g.11b6wpy343,Yūto Takahama,1996-08-08,2096-07-14,m.03_3d,Yūto Takahama,1.83,"",Datum umrtia nemusi byt spravny.
m.0131j8x3,Stefano Allocchio,1962-03-18,2062-02-21,m.03rjj,Stefano Allocchio,"","",Datum umrtia nemusi byt spravny.
m.03d9fzr,Habibullah Bahar Chowdhury,1906-01-01,1966-01-01,m.05sb1,Habibullah Bahar Chowdhury,"","",""
m.04j203,Wilhelm Abraham Teller,1734-01-09,1804-12-09,m.0345h,Wilhelm Abraham Teller,"","",""
m.05myly3,Steven Marković,1985-03-14,2085-02-17,m.0chghy,Steven Marković,1.9,"",Datum umrtia nemusi byt spravny.
m.011650wk,Senkou,1979-02-26,2079-02-01,m.03_3d,Senkou,"","",Datum umrtia nemusi byt spravny.
m.01vl4f9,Babs Gonzales,1919-10-27,1980-01-23,m.09c7w0,Babs Gonzales,"","",""
m.02764ns,Dan Bonner,"","",m.09c7w0,Dan Bonner,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.027nr2r,Bill Madden,"","",m.09c7w0,Bill Madden,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02px6d_,Alice Di Micele,1965-01-01,2064-12-07,m.09c7w0,Alice Di Micele,"","",Datum umrtia nemusi byt spravny.
m.03c_3mx,Lorne Resnick,1961-05-16,2061-04-21,m.09c7w0,Lorne Resnick,"","",Datum umrtia nemusi byt spravny.
m.03mr8k,Andrew Caddick,1968-11-21,2068-10-27,m.02jx1,Andrew Caddick,"","",Datum umrtia nemusi byt spravny.
m.04dgfyw,Doug Pitt,1966-11-02,2066-10-08,m.09c7w0,Doug Pitt,"","",Datum umrtia nemusi byt spravny.
m.073jzm,Doug Wright,1917-08-11,1983-01-03,m.0d060g,Doug Wright,"","",""
m.07_75t,Henri Desmarets,1661-02-01,1741-12-07,m.0f8l9c,Henri Desmarets,"","",""
m.010q44x7,Silvano Piccardi,1946-01-01,2045-12-07,m.03rjj,Silvano Piccardi,"","",Datum umrtia nemusi byt spravny.
m.0110yxv3,K. R. Savithri,"","",m.03rk0,K. R. Savithri,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01v3wkh,Elsie Carlisle,1896-01-28,1977-09-05,m.02jx1,Elsie Carlisle,"","",""
m.0273bn_,Stuart Lovell,1972-01-09,2071-12-15,m.02jx1,Stuart Lovell,1.78,"",Datum umrtia nemusi byt spravny.
m.0273bn_,Stuart Lovell,1972-01-09,2071-12-15,m.0chghy,Stuart Lovell,1.78,"",Datum umrtia nemusi byt spravny.
m.027_jby,Vladimir Đilas,1983-03-03,2083-02-06,m.077qn,Vladimir Đilas,1.88,"",Datum umrtia nemusi byt spravny.
m.027g4pm,"Charles Pierrepont, 4th Earl Manvers",1854-08-02,1926-07-17,m.07ssc,"Charles Pierrepont, 4th Earl Manvers","","",""
m.027w6p1,Cynthia Lord,"","",m.09c7w0,Cynthia Lord,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02r6kbq,Haas Visser 't Hooft,1905-09-20,1977-07-28,m.059j2,Haas Visser 't Hooft,"","",""
m.010hbgkm,Martin Lisý,"","",m.01mk6,Martin Lisý,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010hbgkm,Martin Lisý,"","",m.06npd,Martin Lisý,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01w07xk,Faye Tozer,1975-11-14,2075-10-20,m.02jx1,Faye Tozer,"","",Datum umrtia nemusi byt spravny.
m.022wq9,Plutarco Elías Calles,1877-09-25,1945-10-19,m.0b90_r,Plutarco Elías Calles,"","",""
m.022wq9,Plutarco Elías Calles,1877-09-25,1945-10-19,m.06mkj,Plutarco Elías Calles,"","",""
m.025z5dj,Frederick Toone,1868-06-25,1930-06-10,m.02jx1,Frederick Toone,"","",""
m.026mvmr,Walter Ransom Gail Baker,1892-11-30,1960-01-01,m.09c7w0,Walter Ransom Gail Baker,"","",""
m.027zpy4,Dave Manders,1941-02-20,2041-01-26,m.09c7w0,Dave Manders,"","",Datum umrtia nemusi byt spravny.
m.028_rx,Richard J. Hughes,1909-08-10,1992-12-07,m.09c7w0,Richard J. Hughes,"","",""
m.02q5h83,Ted Owens,"","",m.09c7w0,Ted Owens,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02zbn25,Margaret Joslin,1883-08-06,1956-10-14,m.09c7w0,Margaret Joslin,"","",""
m.03hgjfh,Eszrafiq Azis,1986-01-25,2085-12-31,m.09pmkv,Eszrafiq Azis,"","",Datum umrtia nemusi byt spravny.
m.03wfp73,Zo d'Axa,1864-05-28,1930-08-30,m.0f8l9c,Zo d'Axa,"","",""
m.03xnb80,Matt McIntosh,1971-01-13,2070-12-19,m.09c7w0,Matt McIntosh,"","",Datum umrtia nemusi byt spravny.
m.040s5s,Mary Seacole,1805-11-23,1881-05-14,m.07ssc,Mary Seacole,"","",""
m.04f0_jx,Doug Berry,1907-05-03,1957-04-17,m.0chghy,Doug Berry,"","",""
m.04s__w,Charles O'Conor,1804-01-22,1884-05-12,m.09c7w0,Charles O'Conor,"","",""
m.05h2s1w,Richards Heuer,"","",m.09c7w0,Richards Heuer,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05p5p50,Sergio Noja Noseda,1931-07-07,2008-01-31,m.03rjj,Sergio Noja Noseda,"","",""
m.05xq1k,Don Whillans,1933-05-18,1985-08-04,m.07ssc,Don Whillans,"","",""
m.064l5hk,Edwin Honig,1919-09-03,2011-05-25,m.09c7w0,Edwin Honig,"","",""
m.06q1kw,Shirley Fry Irvin,1927-06-30,2027-06-05,m.09c7w0,Shirley Fry Irvin,"","",Datum umrtia nemusi byt spravny.
m.07fsb0,Julie Dawn Cole,1957-10-26,2057-10-01,m.07ssc,Julie Dawn Cole,"","",Datum umrtia nemusi byt spravny.
m.07j4t_,Camille Huysmans,1871-05-26,1968-02-25,m.0154j,Camille Huysmans,"","",""
g.121c9r1l,Stefan Barucha,1977-04-03,2077-03-09,m.0345h,Stefan Barucha,"","",Datum umrtia nemusi byt spravny.
m.011126xs,Carlos Sánchez,"","",m.027rn,Carlos Sánchez,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011kzhy9,Ufo Walter,1961-01-19,2060-12-25,m.0345h,Ufo Walter,"","",Datum umrtia nemusi byt spravny.
m.0131xwmv,Sarah Puntigam,1992-10-13,2092-09-18,m.0h7x,Sarah Puntigam,1.73,"",Datum umrtia nemusi byt spravny.
m.01r6f1,Elbert Dubenion,1933-02-16,2033-01-22,m.09c7w0,Elbert Dubenion,1.8,"",Datum umrtia nemusi byt spravny.
m.026l87w,Robert Boyer,1948-07-20,2004-08-30,m.0d060g,Robert Boyer,"","",""
m.02r70z5,Lane MacDonald,1966-03-03,2066-02-06,m.09c7w0,Lane MacDonald,1.8,"",Datum umrtia nemusi byt spravny.
m.02rv8d4,Bill Capece,1959-04-01,2059-03-07,m.09c7w0,Bill Capece,"","",Datum umrtia nemusi byt spravny.
