id,name,birth,death,nationality_ref,nationality,height_meters,birth_validation,death_validation
m.02vpzsg,Otto Antonius,1885-05-21,1945-04-09,m.0h7x,Otto Antonius,"","",""
m.02z68s8,Helen Arnold,"","",m.09c7w0,Helen Arnold,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03c5w9d,Ryszard Bakst,1926-04-04,1999-03-25,m.07ssc,Ryszard Bakst,"","",""
m.04725n,Jon Brown,1971-02-27,2071-02-02,m.07ssc,Jon Brown,"","",Datum umrtia nemusi byt spravny.
m.04725n,Jon Brown,1971-02-27,2071-02-02,m.0d060g,Jon Brown,"","",Datum umrtia nemusi byt spravny.
m.04j0xs,Bernard Marcus,1929-01-01,2028-12-07,m.09c7w0,Bernard Marcus,"","",Datum umrtia nemusi byt spravny.
m.04m4pj,Joachim Lambek,1922-12-05,2014-01-01,m.0d060g,Joachim Lambek,"","",""
m.04n2lmm,Moniek Nijhuis,1988-03-20,2088-02-24,m.059j2,Moniek Nijhuis,1.79,"",Datum umrtia nemusi byt spravny.
m.05mrdxm,Blair Connor,1988-09-29,2088-09-04,m.0chghy,Blair Connor,1.83,"",Datum umrtia nemusi byt spravny.
m.012cz59w,Gerardo Fernández Noroña,1960-03-19,2060-02-23,m.0b90_r,Gerardo Fernández Noroña,"","",Datum umrtia nemusi byt spravny.
m.027rg92,Antoine Kombouaré,1963-11-16,2063-10-22,m.0f8l9c,Antoine Kombouaré,1.85,"",Datum umrtia nemusi byt spravny.
m.02vl0qx,Duch Sophea,1986-01-01,2085-12-07,m.01xbgx,Duch Sophea,"","",Datum umrtia nemusi byt spravny.
m.03d9k88,Arthur Saxon,1878-04-28,1921-08-06,m.0345h,Arthur Saxon,"","",""
m.03hhpw,Jacques Gaillot,1935-09-11,2035-08-17,m.0f8l9c,Jacques Gaillot,"","",Datum umrtia nemusi byt spravny.
m.04_0h6j,Meng Fei,1981-03-22,2081-02-25,m.0d05w3,Meng Fei,1.5,"",Datum umrtia nemusi byt spravny.
m.0521tg6,David Forde,1981-01-01,2080-12-07,m.03rt9,David Forde,"","",Datum umrtia nemusi byt spravny.
m.058qdy,Benjamin Hoff,1946-01-01,2045-12-07,m.09c7w0,Benjamin Hoff,"","",Datum umrtia nemusi byt spravny.
g.122kcm1n,Louise Conte,1923-07-25,1995-10-19,m.0f8l9c,Louise Conte,"","",""
m.0279yzq,John Sickels,1968-01-05,2067-12-11,m.09c7w0,John Sickels,"","",Datum umrtia nemusi byt spravny.
m.02pxnlp,William Jay,1789-06-16,1858-10-14,m.09c7w0,William Jay,"","",""
m.02vttd,Johan Sverdrup,1816-07-30,1892-02-17,m.05b4w,Johan Sverdrup,"","",""
m.02z8xq,Leo Kanner,1894-06-13,1981-04-03,m.09c7w0,Leo Kanner,"","",""
m.02z8xq,Leo Kanner,1894-06-13,1981-04-03,m.0h7x,Leo Kanner,"","",""
m.03cr72w,Julian Howard Ashton,1877-08-09,1964-04-30,m.07ssc,Julian Howard Ashton,"","",""
m.03qj4vq,Robert Arkins,"","",m.03rt9,Robert Arkins,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03qjkjh,Dan Goldman,1974-05-11,2074-04-16,m.09c7w0,Dan Goldman,"","",Datum umrtia nemusi byt spravny.
m.03v4kz,Mira Spivak,1934-07-12,2034-06-17,m.0d060g,Mira Spivak,"","",Datum umrtia nemusi byt spravny.
m.03wpjph,William F Ruprecht,1956-01-01,2055-12-07,m.09c7w0,William F Ruprecht,"","",Datum umrtia nemusi byt spravny.
m.04hy41,Edward Stevenson Browne,1852-12-23,1907-07-16,m.07ssc,Edward Stevenson Browne,"","",""
m.04jd16l,Rodney Moore,1965-02-21,2065-01-27,m.09c7w0,Rodney Moore,"","",Datum umrtia nemusi byt spravny.
m.04mnb3,Dee Wallace,1949-12-14,2049-11-19,m.09c7w0,Dee Wallace,1.64,"",Datum umrtia nemusi byt spravny.
m.07ysj8g,Chuck Lukacs,"","",m.09c7w0,Chuck Lukacs,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.022r1t0,Frank Kilkelly,1979-07-25,2079-06-30,m.03rt9,Frank Kilkelly,"","",Datum umrtia nemusi byt spravny.
m.026nq7m,Leonor López de Córdoba,1362-01-01,1420-01-01,m.06mkj,Leonor López de Córdoba,"","",""
m.02wcww_,John Olufemi,1984-04-07,2084-03-13,m.05cgv,John Olufemi,1.83,"",Datum umrtia nemusi byt spravny.
m.02wydj4,Christian Filippella,1975-12-20,2075-11-25,m.03rjj,Christian Filippella,"","",Datum umrtia nemusi byt spravny.
m.03c4m7r,Orazio Porta,"","",m.03rjj,Orazio Porta,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03ns4s5,Dušan Herda,1951-07-15,2051-06-20,m.06npd,Dušan Herda,"","",Datum umrtia nemusi byt spravny.
m.058yjc,Paddy Glynn,1855-08-25,1931-10-28,m.0chghy,Paddy Glynn,"","",""
m.07s6vr6,A. M. Rajah,1929-07-01,1989-04-08,m.03rk0,A. M. Rajah,"","",""
m.011nkxyn,James Rourke,"","",m.07ssc,James Rourke,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01h2t5,William Thornton,1759-05-20,1828-03-28,m.07ssc,William Thornton,"","",""
m.01h2t5,William Thornton,1759-05-20,1828-03-28,m.09c7w0,William Thornton,"","",""
m.021r9f,Dan Butler,1954-12-02,2054-11-07,m.09c7w0,Dan Butler,"","",Datum umrtia nemusi byt spravny.
m.03j23gd,Don Kirkpatrick,1905-06-17,1956-05-13,m.09c7w0,Don Kirkpatrick,"","",""
m.03wd34k,William R. Peck,1818-01-31,1871-01-22,m.09c7w0,William R. Peck,"","",""
m.049dpzv,Donald Heywood,1896-10-24,1967-01-13,m.09lxtg,Donald Heywood,"","",""
m.0640lqh,Tom Danby,1926-08-10,2026-07-16,m.02jx1,Tom Danby,"","",Datum umrtia nemusi byt spravny.
m.0642575,Ken Ghosh,1966-08-19,2066-07-25,m.03rk0,Ken Ghosh,"","",Datum umrtia nemusi byt spravny.
m.06_w998,Rana Chandra Singh,1931-01-01,2009-01-01,m.05sb1,Rana Chandra Singh,"","",""
m.010fcwbg,Ole Kristian Langås,1993-05-07,2093-04-12,m.05b4w,Ole Kristian Langås,1.84,"",Datum umrtia nemusi byt spravny.
m.010r3wn6,Benoit Marie,1992-12-26,2092-12-01,m.06sw9,Benoit Marie,"","",Datum umrtia nemusi byt spravny.
m.010vp_j5,José Jesús Vázquez González,1977-04-04,2077-03-10,m.0b90_r,José Jesús Vázquez González,"","",Datum umrtia nemusi byt spravny.
m.018r79,Karl Friedrich Eichhorn,1781-11-20,1854-07-04,m.0345h,Karl Friedrich Eichhorn,"","",""
m.027m86g,Jacob E. Davis,1905-10-31,2003-02-28,m.09c7w0,Jacob E. Davis,"","",""
m.02hfz_8,Jenny Thompson,1910-10-15,1976-01-01,m.0d060g,Jenny Thompson,1.74,"",""
m.02x87sz,Amir Saadati,1981-09-23,2081-08-29,m.03shp,Amir Saadati,1.84,"",Datum umrtia nemusi byt spravny.
m.06426js,Stewart Glenister,1988-10-12,2088-09-17,m.0h8d,Stewart Glenister,"","",Datum umrtia nemusi byt spravny.
m.066846,Damian Bugg,1999-08-02,2099-07-08,m.0chghy,Damian Bugg,"","",Datum umrtia nemusi byt spravny.
m.07142d,Muzzy Izzet,1974-10-31,2074-10-06,m.07ssc,Muzzy Izzet,1.78,"",Datum umrtia nemusi byt spravny.
m.07142d,Muzzy Izzet,1974-10-31,2074-10-06,m.01znc_,Muzzy Izzet,1.78,"",Datum umrtia nemusi byt spravny.
m.011cmnnd,Damir Canadi,1970-05-06,2070-04-11,m.0h7x,Damir Canadi,1.7,"",Datum umrtia nemusi byt spravny.
m.0289pd7,Joel Geist,1982-09-21,2082-08-27,m.09c7w0,Joel Geist,1.78,"",Datum umrtia nemusi byt spravny.
m.03h4t4z,Gosder Cherilus,1984-06-28,2084-06-03,m.03gyl,Gosder Cherilus,2.01,"",Datum umrtia nemusi byt spravny.
m.03h4t4z,Gosder Cherilus,1984-06-28,2084-06-03,m.09c7w0,Gosder Cherilus,2.01,"",Datum umrtia nemusi byt spravny.
m.03ll9b,Ragnar Arnalds,1938-07-08,2038-06-13,m.03rj0,Ragnar Arnalds,"","",Datum umrtia nemusi byt spravny.
m.03wf1lb,Kalisha Buckhanon,1977-04-01,2077-03-07,m.09c7w0,Kalisha Buckhanon,"","",Datum umrtia nemusi byt spravny.
m.04gkw_3,Forrest Taylor,1883-12-29,1965-02-19,m.09c7w0,Forrest Taylor,"","",""
m.05c4c7s,Florin Marin,1953-05-19,2053-04-24,m.06c1y,Florin Marin,"","",Datum umrtia nemusi byt spravny.
m.07kg5ly,Johanna Vuoksenmaa,1965-09-21,2065-08-27,m.02vzc,Johanna Vuoksenmaa,"","",Datum umrtia nemusi byt spravny.
g.11dyjzgjr,Michael A. Savageau,1940-12-03,2040-11-08,m.09c7w0,Michael A. Savageau,"","",Datum umrtia nemusi byt spravny.
m.01pjd2j,Dame Darcy,1971-06-11,2071-05-17,m.09c7w0,Dame Darcy,"","",Datum umrtia nemusi byt spravny.
m.01x83k,Himiko,0175-01-01,0248-01-01,m.03_3d,Himiko,"","",""
m.024rv1,Gidon Kremer,1947-02-27,2047-02-02,m.04g5k,Gidon Kremer,"","",Datum umrtia nemusi byt spravny.
m.029njt,Liza Walker,1972-07-07,2072-06-12,m.07ssc,Liza Walker,"","",Datum umrtia nemusi byt spravny.
m.02mqzt,Jim Verraros,1983-02-08,2083-01-14,m.09c7w0,Jim Verraros,"","",Datum umrtia nemusi byt spravny.
m.02qspnf,Hans Beyer,1889-08-23,1965-05-15,m.05b4w,Hans Beyer,"","",""
m.02rvkq7,Karl von Westphalen,1898-08-12,1975-10-18,m.0345h,Karl von Westphalen,"","",""
m.04f_9m1,Osvaldo Ozzán,1970-01-25,2069-12-31,m.0jgd,Osvaldo Ozzán,1.73,"",Datum umrtia nemusi byt spravny.
m.04r9f7,Bibi Besch,1940-02-01,1996-09-07,m.0h7x,Bibi Besch,1.65,"",""
m.04r9f7,Bibi Besch,1940-02-01,1996-09-07,m.09c7w0,Bibi Besch,1.65,"",""
m.06p6pc,J. Edward Bromberg,1903-12-25,1951-12-06,m.03gj2,J. Edward Bromberg,"","",""
m.06p6pc,J. Edward Bromberg,1903-12-25,1951-12-06,m.09c7w0,J. Edward Bromberg,"","",""
m.0130rq6n,Milan Dalal,1962-02-09,2062-01-15,m.03rk0,Milan Dalal,"","",Datum umrtia nemusi byt spravny.
m.02pbc53,Nick James,1986-09-17,2086-08-23,m.02jx1,Nick James,"","",Datum umrtia nemusi byt spravny.
m.02qy3_m,Stewart Patridge,1974-12-06,2074-11-11,m.09c7w0,Stewart Patridge,"","",Datum umrtia nemusi byt spravny.
m.02x988q,Robbie Bonham,1970-04-07,2070-03-13,m.03rt9,Robbie Bonham,"","",Datum umrtia nemusi byt spravny.
m.03gt270,Giovanni Niccolò,1560-01-01,1626-01-01,m.03rjj,Giovanni Niccolò,"","",""
m.0464r7m,John F. Peters,1884-09-11,1969-10-31,m.09c7w0,John F. Peters,"","",""
m.04f2rgw,James Fields Smathers,1888-03-12,1967-08-07,m.09c7w0,James Fields Smathers,"","",""
m.05cnr0,Frank Chu,1960-03-24,2060-02-28,m.09c7w0,Frank Chu,"","",Datum umrtia nemusi byt spravny.
m.05szw_r,Julian Lewis Jones,1968-08-01,2068-07-07,m.07ssc,Julian Lewis Jones,"","",Datum umrtia nemusi byt spravny.
m.064c2pc,Michael Dimalanta,1981-10-19,2081-09-24,m.09c7w0,Michael Dimalanta,1.69,"",Datum umrtia nemusi byt spravny.
m.07qk2v,Angus Taylor,"","",m.0d060g,Angus Taylor,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.026tqfc,Herizo Razafimahaleo,1955-02-21,2008-07-25,m.04sj3,Herizo Razafimahaleo,"","",""
m.02wbgtb,Daiju Hisateru,1950-03-19,2050-02-22,m.03_3d,Daiju Hisateru,1.765,"",Datum umrtia nemusi byt spravny.
m.03c3sgx,Oscar Albarado,1948-09-15,2048-08-21,m.09c7w0,Oscar Albarado,"","",Datum umrtia nemusi byt spravny.
m.049g9y8,Loris Tjeknavorian,1937-10-13,2037-09-18,m.0jgx,Loris Tjeknavorian,"","",Datum umrtia nemusi byt spravny.
m.062tjf,Justin Whalin,1974-09-06,2074-08-12,m.09c7w0,Justin Whalin,1.71,"",Datum umrtia nemusi byt spravny.
m.06hy8l,Eileen Gunn,1945-06-23,2045-05-29,m.09c7w0,Eileen Gunn,"","",Datum umrtia nemusi byt spravny.
m.06k1nv,Andrew Plimer,1763-01-01,1837-01-01,m.07ssc,Andrew Plimer,"","",""
m.06p58q,Maler Müller,1749-01-13,1825-04-23,m.0345h,Maler Müller,"","",""
g.120yrf1c,Nunzio Favia,1953-04-18,2053-03-24,m.03rjj,Nunzio Favia,"","",Datum umrtia nemusi byt spravny.
m.011q3_yh,Joan Francesc Ferrer Sicilia,1970-02-05,2070-01-11,m.06mkj,Joan Francesc Ferrer Sicilia,"","",Datum umrtia nemusi byt spravny.
m.023m14,Boyd K. Packer,1924-09-10,2024-08-16,m.09c7w0,Boyd K. Packer,"","",Datum umrtia nemusi byt spravny.
m.02838y9,Russell H. Greenan,1925-09-17,2025-08-23,m.09c7w0,Russell H. Greenan,"","",Datum umrtia nemusi byt spravny.
m.0286lym,George Lowrie,1919-12-19,1989-05-03,m.0j5g9,George Lowrie,1.75,"",""
m.0292qs,Ed Schrock,1941-04-06,2041-03-12,m.09c7w0,Ed Schrock,"","",Datum umrtia nemusi byt spravny.
m.04178_l,Milinda Moragoda,1964-06-04,2064-05-10,m.06m_5,Milinda Moragoda,"","",Datum umrtia nemusi byt spravny.
m.064q53f,Anatoli Davydov,1953-11-13,2053-10-19,m.06bnz,Anatoli Davydov,1.75,"",Datum umrtia nemusi byt spravny.
m.07v7z6,Mariano Matamoros,1770-08-14,1814-02-03,m.0b90_r,Mariano Matamoros,"","",""
g.12182kcl,Yukiko Makioka,1957-01-01,2056-12-07,m.03_3d,Yukiko Makioka,"","",Datum umrtia nemusi byt spravny.
m.010qzmy8,Kyi Kyi Shwe,"","",m.04xn_,Kyi Kyi Shwe,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01lpbcd,Mick Taylor,1949-01-17,2048-12-23,m.02jx1,Mick Taylor,"","",Datum umrtia nemusi byt spravny.
m.026bc1m,Timothy Taylor,1960-01-01,2059-12-07,m.09c7w0,Timothy Taylor,"","",Datum umrtia nemusi byt spravny.
m.02q48jv,Galyn Görg,1964-07-15,2064-06-20,m.09c7w0,Galyn Görg,"","",Datum umrtia nemusi byt spravny.
m.02qtg5h,Robert Aymar,1936-01-01,2035-12-07,m.0f8l9c,Robert Aymar,"","",Datum umrtia nemusi byt spravny.
m.02r4yhv,James Garrison,1953-01-01,2052-12-07,m.09c7w0,James Garrison,"","",Datum umrtia nemusi byt spravny.
m.03dw7_,Kovas,1985-08-01,2085-07-07,m.09c7w0,Kovas,"","",Datum umrtia nemusi byt spravny.
m.03tgq6,Tahnee Welch,1961-12-26,2061-12-01,m.09c7w0,Tahnee Welch,1.68,"",Datum umrtia nemusi byt spravny.
m.0479kh,Jean Gabin,1904-05-17,1976-11-15,m.0f8l9c,Jean Gabin,"","",""
m.04fglp,Paul Prudhomme,1940-07-13,2040-06-18,m.09c7w0,Paul Prudhomme,"","",Datum umrtia nemusi byt spravny.
m.04vzyc,William King,1959-12-07,2059-11-12,m.07ssc,William King,"","",Datum umrtia nemusi byt spravny.
m.05f644j,Ndamukong Suh,1987-01-06,2086-12-12,m.09c7w0,Ndamukong Suh,1.93,"",Datum umrtia nemusi byt spravny.
m.05vdnkf,Darrel Bristow-Bovey,1971-04-06,2071-03-12,m.0hzlz,Darrel Bristow-Bovey,"","",Datum umrtia nemusi byt spravny.
m.05ykfck,David Irving,1778-12-05,1860-05-11,m.07ssc,David Irving,"","",""
m.06g4l,Ruth Gordon,1896-10-30,1985-08-28,m.09c7w0,Ruth Gordon,1.524,"",""
g.122kznft,Dmitry Protzko,1980-01-07,2079-12-13,m.06bnz,Dmitry Protzko,"","",Datum umrtia nemusi byt spravny.
m.0131_0w4,Sven Knipphals,1985-09-20,2085-08-26,m.0345h,Sven Knipphals,1.9,"",Datum umrtia nemusi byt spravny.
m.01t7kwf,Clay Evans,1925-06-23,2025-05-29,m.09c7w0,Clay Evans,"","",Datum umrtia nemusi byt spravny.
m.026kt9x,Anselm Reyle,1970-12-02,2070-11-07,m.0345h,Anselm Reyle,"","",Datum umrtia nemusi byt spravny.
m.027ytj,E. H. Harriman,1848-02-20,1909-09-09,m.09c7w0,E. H. Harriman,"","",""
m.028bfw3,Francis B. Wai,1917-04-14,1944-10-20,m.09c7w0,Francis B. Wai,"","",""
m.02qglbk,Rafael V. Mariano,1956-10-24,2056-09-29,m.05v8c,Rafael V. Mariano,"","",Datum umrtia nemusi byt spravny.
m.02rk_3k,Walter Lafferty,1875-06-10,1964-01-15,m.09c7w0,Walter Lafferty,"","",""
m.02vpg64,Tom Bradley,1956-01-01,2055-12-07,m.09c7w0,Tom Bradley,"","",Datum umrtia nemusi byt spravny.
m.03ckvty,Ivona Jerković,1984-07-02,2084-06-07,m.077qn,Ivona Jerković,2.0,"",Datum umrtia nemusi byt spravny.
m.05hp4d,Daryl Somers,1951-08-06,2051-07-12,m.0chghy,Daryl Somers,"","",Datum umrtia nemusi byt spravny.
m.05zn4k7,Vlademir Jeronimo Barreto,1979-10-01,2079-09-06,m.015fr,Vlademir Jeronimo Barreto,1.84,"",Datum umrtia nemusi byt spravny.
m.06g2l1,Misheel Jargalsaikhan,1988-11-09,2088-10-15,m.05qhw,Misheel Jargalsaikhan,"","",Datum umrtia nemusi byt spravny.
m.06gw8k,Luís Pires,1400-01-25,1500-01-01,m.05r4w,Luís Pires,"",Datum narodenia nemusi byt spravny.,""
g.121jch8r,Julie Wiggen,1965-05-23,2065-04-28,m.05b4w,Julie Wiggen,"","",Datum umrtia nemusi byt spravny.
m.0106cflj,María Cañas,1972-01-01,2071-12-07,m.06mkj,María Cañas,"","",Datum umrtia nemusi byt spravny.
m.01k7m9,William Coxe,1747-03-17,1828-06-08,m.02jx1,William Coxe,"","",""
m.025dnm,Elaine Paige,1948-03-05,2048-02-09,m.02jx1,Elaine Paige,1.511,"",Datum umrtia nemusi byt spravny.
m.0284nn7,Sudhakarrao Naik,1934-08-21,2001-05-10,m.03rk0,Sudhakarrao Naik,"","",""
m.02rb8c5,Aut Erickson,1938-01-25,2010-08-21,m.0d060g,Aut Erickson,1.83,"",""
m.02w96rb,Reto Capadrutt,1912-03-04,1939-02-03,m.06mzp,Reto Capadrutt,"","",""
m.02x2b1y,Rafael Ishkhanyan,1922-01-01,1996-01-01,m.0jgx,Rafael Ishkhanyan,"","",""
m.02xn1b,Richard Mastracchio,1960-02-11,2060-01-17,m.09c7w0,Richard Mastracchio,"","",Datum umrtia nemusi byt spravny.
m.02xn1b,Richard Mastracchio,1960-02-11,2060-01-17,m.03rjj,Richard Mastracchio,"","",Datum umrtia nemusi byt spravny.
m.03grxfc,Charles Jackson Paine,1833-08-26,1916-08-12,m.09c7w0,Charles Jackson Paine,"","",""
m.04n3fgf,Nicole Dubuc,1978-11-06,2078-10-12,m.09c7w0,Nicole Dubuc,"","",Datum umrtia nemusi byt spravny.
m.04zxv97,Zane Tamane,1983-09-24,2083-08-30,m.04g5k,Zane Tamane,"","",Datum umrtia nemusi byt spravny.
m.025rpsj,Steve Mills,1953-12-09,1988-08-01,m.02jx1,Steve Mills,1.7,"",""
m.0277wjt,Joel West,1975-04-06,2075-03-12,m.09c7w0,Joel West,1.87,"",Datum umrtia nemusi byt spravny.
m.027k07t,Ashley Postelwaite,"","",m.09c7w0,Ashley Postelwaite,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02h7hk,Hans Fallada,1893-07-21,1947-02-05,m.0345h,Hans Fallada,"","",""
m.02r1y6j,Blaine Fontana,"","",m.09c7w0,Blaine Fontana,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02rtjv0,Rusty Nails,1966-01-01,2065-12-07,m.09c7w0,Rusty Nails,"","",Datum umrtia nemusi byt spravny.
m.03rjry,Jesse Birdsall,1963-02-13,2063-01-19,m.02jx1,Jesse Birdsall,1.803,"",Datum umrtia nemusi byt spravny.
m.06zllwz,Yulia Shamalov-Berkovich,1964-04-01,2064-03-07,m.03spz,Yulia Shamalov-Berkovich,"","",Datum umrtia nemusi byt spravny.
m.07sgbs,Joshua Colangelo-Bryan,"","",m.09c7w0,Joshua Colangelo-Bryan,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011dndd5,Matias Louanto,1994-12-25,2094-11-30,m.02vzc,Matias Louanto,1.75,"",Datum umrtia nemusi byt spravny.
m.011dz5c2,Dyego Wilverson Ferreira Sousa,1989-09-14,2089-08-20,m.015fr,Dyego Wilverson Ferreira Sousa,1.9,"",Datum umrtia nemusi byt spravny.
m.01tk9lk,Ali N. Askin,1962-01-01,2061-12-07,m.0345h,Ali N. Askin,"","",Datum umrtia nemusi byt spravny.
m.027zq0y,Kate Asabuki,1962-07-03,2062-06-08,m.03_3d,Kate Asabuki,1.6,"",Datum umrtia nemusi byt spravny.
m.02q_9fv,Michael Lohr,1591-09-23,1654-02-17,m.09c7w0,Michael Lohr,"","",""
m.02q_9fv,Michael Lohr,1591-09-23,1654-02-17,m.0345h,Michael Lohr,"","",""
m.02qtg98,Bill Touhey,1906-03-23,1999-03-28,m.0d060g,Bill Touhey,1.75,"",""
m.043pcb2,Israel José Rubio,1981-01-11,2080-12-17,m.07ylj,Israel José Rubio,1.65,"",Datum umrtia nemusi byt spravny.
m.04kn7f,Joannes de Laet,1581-01-01,1649-12-15,m.059j2,Joannes de Laet,"","",""
m.04ldwh1,Nidhi Subbaiah,1988-02-16,2088-01-22,m.03rk0,Nidhi Subbaiah,1.7,"",Datum umrtia nemusi byt spravny.
m.0522l8m,Peter Russell,1939-08-12,2039-07-18,m.02jx1,Peter Russell,"","",Datum umrtia nemusi byt spravny.
m.06sydly,Izumi Yamada,1960-01-01,2059-12-07,m.03_3d,Izumi Yamada,1.61,"",Datum umrtia nemusi byt spravny.
g.1239jc4w,Kalin Arsov,1951-11-16,2051-10-22,m.015qh,Kalin Arsov,"","",Datum umrtia nemusi byt spravny.
m.012845wg,Andrey Pedan,1993-07-03,2093-06-08,m.04gzd,Andrey Pedan,1.93,"",Datum umrtia nemusi byt spravny.
m.01bkb0,Senesino,1686-10-31,1758-11-27,m.03rjj,Senesino,"","",""
m.01v_9t,Chuck Mosley,1959-12-26,2059-12-01,m.09c7w0,Chuck Mosley,"","",Datum umrtia nemusi byt spravny.
m.026t2rq,Joe Meno,1974-01-01,2073-12-07,m.09c7w0,Joe Meno,"","",Datum umrtia nemusi byt spravny.
m.0283xcl,Robert Hoe,1784-10-29,1833-01-04,m.02jx1,Robert Hoe,"","",""
m.0283xcl,Robert Hoe,1784-10-29,1833-01-04,m.09c7w0,Robert Hoe,"","",""
m.02jx_h,Bill White,1934-01-28,2034-01-03,m.09c7w0,Bill White,"","",Datum umrtia nemusi byt spravny.
m.02r3vj,Michael Brandon,1945-04-20,2045-03-26,m.09c7w0,Michael Brandon,"","",Datum umrtia nemusi byt spravny.
m.02rg6xd,Charles Q. Williams,1933-09-17,1982-10-15,m.09c7w0,Charles Q. Williams,"","",""
m.03cbl33,Aggie Herring,1876-02-04,1939-10-28,m.09c7w0,Aggie Herring,"","",""
m.03cwb0y,Mattie Clarke,1922-01-01,1960-01-06,m.03rt9,Mattie Clarke,"","",""
m.03h14vg,Ekoji II,1696-01-01,1737-01-01,m.03rk0,Ekoji II,"","",""
m.03w9hln,Ramiele Malubay,1987-09-06,2087-08-12,m.05v8c,Ramiele Malubay,1.49,"",Datum umrtia nemusi byt spravny.
m.03w9hln,Ramiele Malubay,1987-09-06,2087-08-12,m.09c7w0,Ramiele Malubay,1.49,"",Datum umrtia nemusi byt spravny.
g.121vxn4j,Marisa Colomber,1928-10-05,2013-07-14,m.03rjj,Marisa Colomber,"","",""
m.025vtvw,Mark Whipple,1957-04-01,2057-03-07,m.09c7w0,Mark Whipple,"","",Datum umrtia nemusi byt spravny.
m.0268317,David A. Boody,1837-08-13,1930-01-20,m.09c7w0,David A. Boody,"","",""
m.02pt17h,Abdullahi Ibrahim,"","",m.05cgv,Abdullahi Ibrahim,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03cw5d0,Jan Boeckhorst,1604-01-01,1668-04-21,m.0345h,Jan Boeckhorst,"","",""
m.03lx4z,Marianna Csörnyei,1975-10-08,2075-09-13,m.03gj2,Marianna Csörnyei,"","",Datum umrtia nemusi byt spravny.
m.03mfzh4,Yang Hyong-sop,1925-10-01,2025-09-06,m.05b7q,Yang Hyong-sop,"","",Datum umrtia nemusi byt spravny.
m.04092ct,Valente Rodriguez,1964-02-14,2064-01-20,m.09c7w0,Valente Rodriguez,"","",Datum umrtia nemusi byt spravny.
m.04mz6f2,Aldo Maccione,1935-11-27,2035-11-02,m.03rjj,Aldo Maccione,"","",Datum umrtia nemusi byt spravny.
m.055p99r,Aleksandar Andrić,1978-08-28,2078-08-03,m.077qn,Aleksandar Andrić,"","",Datum umrtia nemusi byt spravny.
m.05y3b4,Charles Ruijs de Beerenbrouck,1873-12-01,1936-04-17,m.059j2,Charles Ruijs de Beerenbrouck,"","",""
m.0112v5lt,Eric Stevenson,1990-08-30,2090-08-05,m.09c7w0,Eric Stevenson,1.72,"",Datum umrtia nemusi byt spravny.
m.0264fxg,Sue Moorcroft,"","",m.02jx1,Sue Moorcroft,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.027zx2_,Neil Balfour,1944-08-12,2044-07-18,m.02jx1,Neil Balfour,"","",Datum umrtia nemusi byt spravny.
m.02hj69q,George Stuart Robertson,1872-05-25,1967-01-29,m.07ssc,George Stuart Robertson,"","",""
m.02rlf0_,Tranquilino Luna,1849-02-25,1892-11-20,m.09c7w0,Tranquilino Luna,"","",""
m.02tqyf,Rob Kutner,"","",m.09c7w0,Rob Kutner,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.038r7_,David Fumero,1972-12-29,2072-12-04,m.09c7w0,David Fumero,1.8,"",Datum umrtia nemusi byt spravny.
m.03h5w81,Jean Nicolas Vallot,1771-01-01,1860-01-01,m.0f8l9c,Jean Nicolas Vallot,"","",""
m.03mdz5w,Janusz Centka,1950-04-20,2050-03-26,m.05qhw,Janusz Centka,"","",Datum umrtia nemusi byt spravny.
m.0417lmg,František Lipka,1946-02-22,2046-01-28,m.06npd,František Lipka,"","",Datum umrtia nemusi byt spravny.
m.047m53n,Pavel Šnobel,1980-02-28,2080-02-03,m.01mjq,Pavel Šnobel,1.9,"",Datum umrtia nemusi byt spravny.
m.04gfkr,Bidhan Chandra Roy,1882-07-01,1962-07-01,m.03rk0,Bidhan Chandra Roy,"","",""
m.04q0j5,Gavin Brown,"","",m.0d060g,Gavin Brown,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.04spnx,"Melusina von der Schulenburg, Countess of Walsingham",1693-04-01,1778-09-16,m.0345h,"Melusina von der Schulenburg, Countess of Walsingham","","",""
m.05b448g,Henry Budden,1871-08-11,1944-12-25,m.0chghy,Henry Budden,"","",""
m.05c32mt,Lindsay Posner,1959-06-06,2059-05-12,m.07ssc,Lindsay Posner,"","",Datum umrtia nemusi byt spravny.
